           mass         a     mcen     acen      r
Jupiter 1.90e+30 7.79e+13 2.00e+33 0.00e+00 6.99e9
Io      8.93e+25 4.21e+10 1.90e+30 7.79e+13 1.82e8
Europa  4.80e+25 6.71e+10 1.90e+30 7.79e+13 1.56e8
Ganym   1.48e+26 1.07e+11 1.90e+30 7.79e+13 2.63e8
Call    1.08e+26 1.88e+11 1.90e+30 7.79e+13 2.41e8
Saturn  5.68e+29 1.43e+14 2.00e+33 0.00e+00 5.70e9
Encel   1.08e+23 2.34e+10 5.68e+29 1.43e+14 2.52e7
Titan   1.35e+26 1.22e+11 5.68e+29 1.43e+14 2.58e8
Neptune 1.02e+29 4.50e+14 2.00e+33 0.00e+00 2.46e9
Triton  2.14e+25 3.55e+11 1.02e+29 4.50e+14 1.35e8
