         mass(g)    a(cm)     mcen     acen      r
Sun     2.00e+33 6.955e10 2.00e+33 0.00e+00 6.96e10
Mercury 3.30e+26 5.79e+12 2.00e+33 0.00e+00 2.44e08
Venus   4.87e+27 1.08e+13 2.00e+33 0.00e+00 6.05e08
Earth   5.97e+27 1.50e+13 2.00e+33 0.00e+00 6.37e08
Mars    6.42e+26 2.28e+13 2.00e+33 0.00e+00 3.39e08
Jupiter 1.90e+30 7.79e+13 2.00e+33 0.00e+00 6.99e09
Saturn  5.68e+29 1.43e+14 2.00e+33 0.00e+00 5.70e09
Uranus  8.68e+28 2.88e+14 2.00e+33 0.00e+00 2.54e09
Neptune 1.02e+29 4.50e+14 2.00e+33 0.00e+00 2.46e09
Ejected 0.00e+00 1.50e+15 2.00e+33 0.00e+00 1.50e15
